page,code,time_hr,type,composition,,,,,,,
138,02-04-019-115-1,100,Oxide,Al2O3,,,,,,,
138,02-04-019-115-1,100,Oxide,NiO,,,,,,,
138,02-04-019-115-1,100,Spinel,8.25,,,,,,,
140,02-04-019-190-1,200,Spinel,8.15,,,,,,,
140,02-04-019-190-1,200,Oxide,Al2O3,,,,,,,
140,02-04-019-190-1,200,Rutile,3.30,,,,,,,
141,02-04-019-324-3,200,Spinel,8.10,,,,,,,
141,02-04-019-324-3,200,Rutile,3.30,,,,,,,
141,02-04-019-324-3,200,Oxide,NiO,,,,,,,
141,02-04-019-324-3,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
141,02-04-019-324-3,200,Oxide,Al2O3,,,,,,,
142,02-04-032-322-2,100,Spinel,8.10,,,,,,,
142,02-04-032-322-2,100,Oxide,Al2O3,,,,,,,
142,02-04-032-322-2,100,Rutile,3.30,,,,,,,
142,02-04-032-322-2,100,Oxide,HfO2,,,,,,,
143,02-04-032-325-2,200,Spinel,8.10,,,,,,,
143,02-04-032-325-2,200,Oxide,Al2O3,,,,,,,
143,02-04-032-325-2,200,Rutile,3.30,,,,,,,
143,02-04-032-325-2,200,Oxide,HfO2,,,,,,,
144,02-04-022-321-6,100,Spinel,8.25,,,,,,,
144,02-04-022-321-6,100,Spinel,8.10,,,,,,,
144,02-04-022-321-6,100,Oxide,NiTiO3,,,,,,,
144,02-04-022-321-6,100,Oxide,Cr2O3,,,,,,,
144,02-04-022-321-6,100,Oxide,Al2O3,,,,,,,
144,02-04-022-321-6,100,Rutile,3.30,,,,,,,
145,02-13-016-323-6,100,Spinel,8.30,,,,,,,
145,02-13-016-323-6,100,Spinel,8.10,,,,,,,
145,02-13-016-323-6,100,Oxide,NiO,,,,,,,
145,02-13-016-323-6,100,Oxide,Cr2O3,,,,,,,
145,02-13-016-323-6,100,Oxide,"(Ni,Co,Fe)TiO3",,,,,,,
145,02-13-016-323-6,100,Oxide,Al2O3,,,,,,,
145,02-13-016-323-6,100,Rutile,3.30,,,,,,,
146,02-04-022-251-1,200,Spinel,8.15,,,,,,,
146,02-04-022-251-1,200,Rutile,3.30,,,,,,,
146,02-04-022-251-1,200,Oxide,Al2O3,,,,,,,
146,02-04-022-251-1,200,Rutile,3.30,,,,,,,
147,02-04-022-251-2,200,Spinel,8.15,,,,,,,
147,02-04-022-251-2,200,Rutile,3.30,,,,,,,
147,02-04-022-251-2,200,Oxide,Al2O3,,,,,,,
147,02-04-022-251-2,200,Rutile,3.30,,,,,,,
147,02-04-022-251-2,200,Oxide,Cr2O3,,,,,,,
150,02-13-016-310-6,200,Spinel,8.10,,,,,,,
150,02-13-016-310-6,200,Oxide,Al2O3,,,,,,,
150,02-13-016-310-6,200,Rutile,3.30,,,,,,,
151,02-04-022-324-6,200,Spinel,8.10,,,,,,,
151,02-04-022-324-6,200,Oxide,NiO,,,,,,,
151,02-04-022-324-6,200,Spinel,8.25,,,,,,,
151,02-04-022-324-6,200,Oxide,"(Ni,Co,Fe)TiO3",,,,,,,
151,02-04-022-324-6,200,Oxide,Cr2O3,,,,,,,
151,02-04-022-324-6,200,Rutile,3.30,,,,,,,
152,02-13-016-326-6,200,Spinel,8.15,,,,,,,
152,02-13-016-326-6,200,Spinel,8.30,,,,,,,
152,02-13-016-326-6,200,Oxide,"(Ni,Co,Fe)TiO3",,,,,,,
152,02-13-016-326-6,200,Oxide,Cr2O3,,,,,,,
152,02-13-016-326-6,200,Rutile,3.30,,,,,,,
152,02-13-016-326-6,200,Oxide,Al2O3,,,,,,,
